pattern,checkIn,hours,category,oracle_price,oracle_plan,engine_price,engine_plan
平日,14,12.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
平日,14,13,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
平日,14,13.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",19800,"休憩(サービスタイム3部) + 休憩(M時間) + 延長3本"
平日,14,14,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",21200,"休憩(サービスタイム3部) + 休憩(M時間) + 延長4本"
平日,14.5,12,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
平日,14.5,12.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
平日,14.5,13,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",19800,"休憩(サービスタイム3部) + 休憩(M時間) + 延長3本"
平日,14.5,13.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",21200,"休憩(サービスタイム3部) + 休憩(M時間) + 延長4本"
平日,15,11.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
平日,15,12,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
平日,15,12.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",19800,"休憩(サービスタイム3部) + 休憩(M時間) + 延長3本"
平日,15,13,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",21200,"休憩(サービスタイム3部) + 休憩(M時間) + 延長4本"
平日,15.5,11,既存が割高(最適化漏れ),20800,"前延長5本 + 宿泊1部(平日)",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
平日,15.5,11.5,既存が割高(最適化漏れ),20800,"前延長5本 + 宿泊1部(平日)",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
平日,15.5,12,既存が割高(最適化漏れ),20800,"前延長5本 + 宿泊1部(平日)",19800,"休憩(サービスタイム3部) + 休憩(M時間) + 延長3本"
平日,15.5,21,既存が割高(最適化漏れ),22200,"前延長5本 + 宿泊1部(平日) + 延長 1本",21600,"休憩(サービスタイム3部) + 宿泊2部"
平日,15.5,21.5,既存が割高(最適化漏れ),23600,"前延長5本 + 宿泊1部(平日) + 延長 2本",21600,"休憩(サービスタイム3部) + 宿泊2部"
平日,15.5,22,既存が割高(最適化漏れ),25000,"前延長5本 + 宿泊1部(平日) + 延長 3本",21600,"休憩(サービスタイム3部) + 宿泊2部"
平日,15.5,22.5,既存が割高(最適化漏れ),26400,"前延長5本 + 宿泊1部(平日) + 延長 4本",21600,"休憩(サービスタイム3部) + 宿泊2部"
平日,15.5,23,既存が割高(最適化漏れ),27800,"前延長5本 + 宿泊1部(平日) + 延長 5本",23000,"休憩(サービスタイム3部) + 宿泊2部 + 延長1本"
平日,15.5,23.5,既存が割高(最適化漏れ),28600,"前延長5本 + 宿泊1部(平日) + 休憩(サービスタイム2部)",24400,"休憩(サービスタイム3部) + 宿泊2部 + 延長2本"
平日,15.5,24,既存が割高(最適化漏れ),28600,"前延長5本 + 宿泊1部(平日) + 休憩(サービスタイム2部)",25800,"休憩(サービスタイム3部) + 宿泊2部 + 延長3本"
平日,16,10.5,新規構成(要確認),19400,"前延長4本 + 宿泊1部(平日)",17000,"休憩(M時間) + 休憩(M時間) + 延長1本"
