pattern,checkIn,hours,category,oracle_price,oracle_plan,engine_price,engine_plan
日祝,1.5,18.5,既存が割高(最適化漏れ),24400,"宿泊1部 + 休憩(サービスタイム2部) + 延長2本",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,1.5,19,既存が割高(最適化漏れ),25800,"宿泊1部 + 休憩(サービスタイム2部) + 延長3本",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,1.5,19.5,既存が割高(最適化漏れ),27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,1.5,20,既存が割高(最適化漏れ),27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,1.5,20.5,既存が割高(最適化漏れ),27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
日祝,1.5,21,既存が割高(最適化漏れ),28600,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部) + 延長1本",23000,"宿泊2部 + 休憩(サービスタイム3部) + 延長1本"
日祝,1.5,21.5,既存が割高(最適化漏れ),29400,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間)",24400,"宿泊2部 + 休憩(サービスタイム3部) + 延長2本"
日祝,1.5,22,既存が割高(最適化漏れ),30800,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長1本",25800,"宿泊2部 + 休憩(サービスタイム3部) + 延長3本"
日祝,1.5,22.5,既存が割高(最適化漏れ),32200,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長2本",27200,"宿泊2部 + 休憩(サービスタイム3部) + 延長4本"
日祝,1.5,23,既存が割高(最適化漏れ),33600,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長3本",28600,"宿泊2部 + 休憩(サービスタイム3部) + 延長5本"
日祝,1.5,23.5,既存が割高(最適化漏れ),35000,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部) + 休憩(4時間)",29400,"宿泊2部 + 休憩(サービスタイム3部) + 休憩(M時間)"
日祝,1.5,24,既存が割高(最適化漏れ),35000,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部) + 休憩(4時間)",29400,"宿泊2部 + 休憩(サービスタイム3部) + 休憩(M時間)"
日祝,6,20.5,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
日祝,6,21,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",26200,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
日祝,6.5,20,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
日祝,6.5,20.5,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",26200,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
日祝,7,19.5,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
日祝,7,20,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",26200,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
日祝,7.5,19,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
日祝,7.5,19.5,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",26200,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
日祝,8,18.5,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
日祝,8,19,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",26200,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
日祝,8.5,18,既存が割高(最適化漏れ),25800,"前延長3本 + 休憩(サービスタイム2部) + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
日祝,12.5,14,既存が割高(最適化漏れ),21600,"休憩(サービスタイム2部) + 宿泊1部",21200,"前延長3本 + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
日祝,13,13.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム2部) + 宿泊1部",19800,"前延長2本 + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
日祝,13,14,既存が割高(最適化漏れ),21600,"休憩(サービスタイム2部) + 宿泊1部",21200,"前延長2本 + 休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
日祝,13.5,13,既存が割高(最適化漏れ),21600,"休憩(サービスタイム2部) + 宿泊1部",18400,"前延長1本 + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
日祝,13.5,13.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム2部) + 宿泊1部",19800,"前延長1本 + 休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
日祝,13.5,14,既存が割高(最適化漏れ),21600,"休憩(サービスタイム2部) + 宿泊1部",21200,"前延長1本 + 休憩(サービスタイム3部) + 休憩(M時間) + 延長3本"
日祝,13.5,23.5,既存が割高(最適化漏れ),24400,"休憩(サービスタイム2部) + 宿泊1部 + 延長2本",23000,"前延長1本 + 休憩(サービスタイム3部) + 宿泊2部"
日祝,13.5,24,既存が割高(最適化漏れ),25800,"休憩(サービスタイム2部) + 宿泊1部 + 延長3本",23000,"前延長1本 + 休憩(サービスタイム3部) + 宿泊2部"
日祝,14,12.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部) + 宿泊2部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
日祝,14,13,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部) + 宿泊2部",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
日祝,14,13.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部) + 宿泊2部",19800,"休憩(サービスタイム3部) + 休憩(M時間) + 延長3本"
日祝,14,14,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部) + 宿泊2部",21200,"休憩(サービスタイム3部) + 休憩(M時間) + 延長4本"
日祝,14.5,12,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部) + 宿泊2部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
日祝,14.5,12.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部) + 宿泊2部",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
日祝,14.5,13,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部) + 宿泊2部",19800,"休憩(サービスタイム3部) + 休憩(M時間) + 延長3本"
日祝,14.5,13.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部) + 宿泊2部",21200,"休憩(サービスタイム3部) + 休憩(M時間) + 延長4本"
日祝,15,11.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部) + 宿泊2部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
日祝,15,12,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部) + 宿泊2部",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
日祝,15,12.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部) + 宿泊2部",19800,"休憩(サービスタイム3部) + 休憩(M時間) + 延長3本"
日祝,15,13,既存が割高(最適化漏れ),21600,"休憩(サービスタイム3部) + 宿泊2部",21200,"休憩(サービスタイム3部) + 休憩(M時間) + 延長4本"
日祝,15.5,11,既存が割高(最適化漏れ),20800,"前延長5本 + 宿泊1部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
日祝,15.5,11.5,既存が割高(最適化漏れ),20800,"前延長5本 + 宿泊1部",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
日祝,15.5,12,既存が割高(最適化漏れ),20800,"前延長5本 + 宿泊1部",19800,"休憩(サービスタイム3部) + 休憩(M時間) + 延長3本"
日祝,15.5,21,既存が割高(最適化漏れ),22200,"前延長5本 + 宿泊1部 + 延長1本",21600,"休憩(サービスタイム3部) + 宿泊2部"
日祝,15.5,21.5,既存が割高(最適化漏れ),23600,"前延長5本 + 宿泊1部 + 延長2本",21600,"休憩(サービスタイム3部) + 宿泊2部"
日祝,15.5,22,既存が割高(最適化漏れ),25000,"前延長5本 + 宿泊1部 + 延長3本",21600,"休憩(サービスタイム3部) + 宿泊2部"
日祝,15.5,22.5,既存が割高(最適化漏れ),26400,"前延長5本 + 宿泊1部 + 延長4本",21600,"休憩(サービスタイム3部) + 宿泊2部"
日祝,15.5,23,既存が割高(最適化漏れ),27800,"前延長5本 + 宿泊1部 + 延長5本",23000,"休憩(サービスタイム3部) + 宿泊2部 + 延長1本"
日祝,15.5,23.5,既存が割高(最適化漏れ),28600,"前延長5本 + 宿泊1部 + 休憩(サービスタイム2部)",24400,"休憩(サービスタイム3部) + 宿泊2部 + 延長2本"
日祝,15.5,24,既存が割高(最適化漏れ),28600,"前延長5本 + 宿泊1部 + 休憩(サービスタイム2部)",25800,"休憩(サービスタイム3部) + 宿泊2部 + 延長3本"
日祝,16,10.5,既存が割高(最適化漏れ),19400,"前延長4本 + 宿泊1部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
日祝,16,11,既存が割高(最適化漏れ),19400,"前延長4本 + 宿泊1部",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
日祝,16,21,既存が割高(最適化漏れ),22200,"前延長4本 + 宿泊1部 + 延長2本",21600,"休憩(サービスタイム3部) + 宿泊2部"
日祝,16,21.5,既存が割高(最適化漏れ),23600,"前延長4本 + 宿泊1部 + 延長3本",21600,"休憩(サービスタイム3部) + 宿泊2部"
日祝,16,22,既存が割高(最適化漏れ),25000,"前延長4本 + 宿泊1部 + 延長4本",21600,"休憩(サービスタイム3部) + 宿泊2部"
日祝,16,22.5,既存が割高(最適化漏れ),26400,"前延長4本 + 宿泊1部 + 延長5本",23000,"休憩(サービスタイム3部) + 宿泊2部 + 延長1本"
日祝,16,23,既存が割高(最適化漏れ),27200,"前延長4本 + 宿泊1部 + 休憩(サービスタイム2部)",24400,"休憩(サービスタイム3部) + 宿泊2部 + 延長2本"
日祝,16,23.5,既存が割高(最適化漏れ),27200,"前延長4本 + 宿泊1部 + 休憩(サービスタイム2部)",25800,"休憩(サービスタイム3部) + 宿泊2部 + 延長3本"
日祝,16.5,10,既存が割高(最適化漏れ),18000,"前延長3本 + 宿泊1部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
日祝,16.5,21,既存が割高(最適化漏れ),22200,"前延長3本 + 宿泊1部 + 延長3本",21600,"休憩(サービスタイム3部) + 宿泊2部"
日祝,16.5,21.5,既存が割高(最適化漏れ),23600,"前延長3本 + 宿泊1部 + 延長4本",21600,"休憩(サービスタイム3部) + 宿泊2部"
日祝,16.5,22,既存が割高(最適化漏れ),25000,"前延長3本 + 宿泊1部 + 延長5本",23000,"休憩(サービスタイム3部) + 宿泊2部 + 延長1本"
日祝,16.5,22.5,既存が割高(最適化漏れ),25800,"前延長3本 + 宿泊1部 + 休憩(サービスタイム2部)",24400,"休憩(サービスタイム3部) + 宿泊2部 + 延長2本"
日祝,17,21,既存が割高(最適化漏れ),22200,"前延長2本 + 宿泊1部 + 延長4本",21600,"休憩(サービスタイム3部) + 宿泊2部"
日祝,17,21.5,既存が割高(最適化漏れ),23600,"前延長2本 + 宿泊1部 + 延長5本",23000,"休憩(サービスタイム3部) + 宿泊2部 + 延長1本"
日祝,19.5,24,既存の過少請求(延長取りこぼし),21600,"宿泊1部 + 休憩(サービスタイム2部)",23000,"宿泊1部 + 休憩(サービスタイム2部) + 延長1本"
日祝,20,23.5,既存の過少請求(延長取りこぼし),21600,"宿泊1部 + 休憩(サービスタイム2部)",23000,"宿泊1部 + 休憩(サービスタイム2部) + 延長1本"
日祝,20,24,既存の過少請求(延長取りこぼし),21600,"宿泊1部 + 休憩(サービスタイム2部)",24400,"宿泊1部 + 休憩(サービスタイム2部) + 延長2本"
日祝,20.5,6,既存が割高(最適化漏れ),13800,"宿泊1部",13400,"前延長3本 + 休憩(M時間) + 延長1本"
日祝,20.5,23,既存の過少請求(延長取りこぼし),21600,"宿泊1部 + 休憩(サービスタイム2部)",23000,"宿泊1部 + 休憩(サービスタイム2部) + 延長1本"
日祝,20.5,23.5,既存の過少請求(延長取りこぼし),21600,"宿泊1部 + 休憩(サービスタイム2部)",24400,"宿泊1部 + 休憩(サービスタイム2部) + 延長2本"
日祝,20.5,24,既存の過少請求(延長取りこぼし),23000,"宿泊1部 + 休憩(サービスタイム2部) + 延長1本",25800,"前延長3本 + 宿泊2部 + 休憩(サービスタイム3部)"
日祝,21,5.5,既存が割高(最適化漏れ),13800,"宿泊1部",12000,"前延長2本 + 休憩(M時間) + 延長1本"
日祝,21,6,既存が割高(最適化漏れ),13800,"宿泊1部",13400,"前延長2本 + 休憩(M時間) + 延長2本"
日祝,21,22.5,既存の過少請求(延長取りこぼし),21600,"宿泊1部 + 休憩(サービスタイム2部)",23000,"宿泊1部 + 休憩(サービスタイム2部) + 延長1本"
日祝,21,23,既存の過少請求(延長取りこぼし),21600,"宿泊1部 + 休憩(サービスタイム2部)",24400,"前延長2本 + 宿泊2部 + 休憩(サービスタイム3部)"
日祝,21,23.5,既存の過少請求(延長取りこぼし),23000,"宿泊1部 + 休憩(サービスタイム2部) + 延長1本",24400,"前延長2本 + 宿泊2部 + 休憩(サービスタイム3部)"
日祝,21.5,5,既存が割高(最適化漏れ),13800,"宿泊1部",10600,"前延長1本 + 休憩(M時間) + 延長1本"
日祝,21.5,5.5,既存が割高(最適化漏れ),13800,"宿泊1部",12000,"前延長1本 + 休憩(M時間) + 延長2本"
日祝,21.5,6,既存が割高(最適化漏れ),13800,"宿泊1部",13400,"前延長1本 + 休憩(M時間) + 延長3本"
日祝,21.5,22,既存の過少請求(延長取りこぼし),21600,"宿泊1部 + 休憩(サービスタイム2部)",23000,"前延長1本 + 宿泊2部 + 休憩(サービスタイム3部)"
日祝,21.5,22.5,既存の過少請求(延長取りこぼし),21600,"宿泊1部 + 休憩(サービスタイム2部)",23000,"前延長1本 + 宿泊2部 + 休憩(サービスタイム3部)"
日祝,22,4.5,既存が割高(最適化漏れ),13800,"宿泊2部",9200,"休憩(M時間) + 延長1本"
日祝,22,5,既存が割高(最適化漏れ),13800,"宿泊2部",10600,"休憩(M時間) + 延長2本"
日祝,22,5.5,既存が割高(最適化漏れ),13800,"宿泊2部",12000,"休憩(M時間) + 延長3本"
日祝,22,6,既存が割高(最適化漏れ),13800,"宿泊2部",13400,"休憩(M時間) + 延長4本"
日祝,22.5,4,既存が割高(最適化漏れ),13800,"宿泊2部",9200,"休憩(M時間) + 延長1本"
日祝,22.5,4.5,既存が割高(最適化漏れ),13800,"宿泊2部",10600,"休憩(M時間) + 延長2本"
日祝,22.5,5,既存が割高(最適化漏れ),13800,"宿泊2部",12000,"休憩(M時間) + 延長3本"
日祝,22.5,5.5,既存が割高(最適化漏れ),13800,"宿泊2部",13400,"休憩(M時間) + 延長4本"
日祝,22.5,24,既存の過少請求(延長取りこぼし),21600,"宿泊2部 + 休憩(サービスタイム3部)",23000,"宿泊2部 + 休憩(サービスタイム3部) + 延長1本"
日祝,23,3.5,既存が割高(最適化漏れ),13800,"宿泊2部",9200,"休憩(M時間) + 延長1本"
日祝,23,4,既存が割高(最適化漏れ),13800,"宿泊2部",10600,"休憩(M時間) + 延長2本"
日祝,23,4.5,既存が割高(最適化漏れ),13800,"宿泊2部",12000,"休憩(M時間) + 延長3本"
日祝,23,5,既存が割高(最適化漏れ),13800,"宿泊2部",13400,"休憩(M時間) + 延長4本"
日祝,23,23.5,既存の過少請求(延長取りこぼし),21600,"宿泊2部 + 休憩(サービスタイム3部)",23000,"宿泊2部 + 休憩(サービスタイム3部) + 延長1本"
日祝,23,24,既存の過少請求(延長取りこぼし),21600,"宿泊2部 + 休憩(サービスタイム3部)",24400,"宿泊2部 + 休憩(サービスタイム3部) + 延長2本"
日祝,23.5,3.5,既存が割高(最適化漏れ),13800,"宿泊2部",10600,"休憩(M時間) + 延長2本"
日祝,23.5,4,既存が割高(最適化漏れ),13800,"宿泊2部",12000,"休憩(M時間) + 延長3本"
日祝,23.5,4.5,既存が割高(最適化漏れ),13800,"宿泊2部",13400,"休憩(M時間) + 延長4本"
日祝,23.5,23,既存の過少請求(延長取りこぼし),21600,"宿泊2部 + 休憩(サービスタイム3部)",23000,"宿泊2部 + 休憩(サービスタイム3部) + 延長1本"
日祝,23.5,23.5,既存の過少請求(延長取りこぼし),21600,"宿泊2部 + 休憩(サービスタイム3部)",24400,"宿泊2部 + 休憩(サービスタイム3部) + 延長2本"
日祝,23.5,24,既存の過少請求(延長取りこぼし),23000,"宿泊2部 + 休憩(サービスタイム3部) + 延長1本",25800,"宿泊2部 + 休憩(サービスタイム3部) + 延長3本"
土,0,3.5,既存が割高(最適化漏れ),13800,"宿泊2部",11600,"ショート + 延長4本"
土,0,4,既存が割高(最適化漏れ),13800,"宿泊2部",13000,"ショート + 延長5本"
土,0.5,2,既存が割高(最適化漏れ),8800,"深夜休憩",7400,"ショート + 延長1本"
土,0.5,3.5,既存が割高(最適化漏れ),13800,"宿泊2部",11600,"ショート + 延長4本"
土,0.5,4,既存が割高(最適化漏れ),13800,"宿泊2部",13000,"ショート + 延長5本"
土,1,1.5,既存が割高(最適化漏れ),8800,"深夜休憩",7400,"ショート + 延長1本"
土,1,3.5,既存が割高(最適化漏れ),13800,"宿泊2部",13000,"ショート + 延長5本"
土,1.5,1,既存が割高(最適化漏れ),8800,"深夜休憩",7400,"ショート + 延長1本"
土,1.5,13,既存が割高(最適化漏れ),20800,"宿泊2部 + 延長5本",20400,"前延長9本 + 休憩(サービスタイム1部)"
土,1.5,13.5,既存が割高(最適化漏れ),21600,"宿泊1部 + 休憩(サービスタイム2部)",20400,"前延長9本 + 休憩(サービスタイム1部)"
土,1.5,14,既存が割高(最適化漏れ),21600,"宿泊1部 + 休憩(サービスタイム2部)",20400,"前延長9本 + 休憩(サービスタイム1部)"
土,1.5,14.5,既存が割高(最適化漏れ),21600,"宿泊1部 + 休憩(サービスタイム2部)",20400,"前延長9本 + 休憩(サービスタイム1部)"
土,6,20.5,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
土,6,21,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",26200,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
土,6,21.5,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",27600,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長3本"
土,6,22,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29000,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長4本"
土,6,22.5,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29400,"休憩(M時間) + 休憩(サービスタイム2部) + 宿泊1部"
土,6,23,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29400,"休憩(M時間) + 休憩(サービスタイム2部) + 宿泊1部"
土,6,23.5,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29400,"休憩(M時間) + 休憩(サービスタイム2部) + 宿泊1部"
土,6,24,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29400,"休憩(M時間) + 休憩(サービスタイム2部) + 宿泊1部"
土,6.5,20,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
土,6.5,20.5,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",26200,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
土,6.5,21,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",27600,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長3本"
土,6.5,21.5,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29000,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長4本"
土,6.5,22,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29400,"休憩(M時間) + 休憩(サービスタイム2部) + 宿泊1部"
土,6.5,22.5,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29400,"休憩(M時間) + 休憩(サービスタイム2部) + 宿泊1部"
土,6.5,23,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29400,"休憩(M時間) + 休憩(サービスタイム2部) + 宿泊1部"
土,6.5,23.5,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29400,"休憩(M時間) + 休憩(サービスタイム2部) + 宿泊1部"
土,6.5,24,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29400,"休憩(M時間) + 休憩(サービスタイム2部) + 宿泊1部"
土,7,19.5,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
土,7,20,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",26200,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
土,7,20.5,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",27600,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長3本"
土,7,21,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29000,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長4本"
土,7,21.5,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29400,"休憩(M時間) + 休憩(サービスタイム2部) + 宿泊1部"
土,7,22,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29400,"休憩(M時間) + 休憩(サービスタイム2部) + 宿泊1部"
土,7,22.5,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29400,"休憩(M時間) + 休憩(サービスタイム2部) + 宿泊1部"
土,7,23,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29400,"休憩(M時間) + 休憩(サービスタイム2部) + 宿泊1部"
土,7,23.5,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29400,"休憩(M時間) + 休憩(サービスタイム2部) + 宿泊1部"
土,7,24,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",29400,"休憩(M時間) + 休憩(サービスタイム2部) + 宿泊1部"
土,7.5,19,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
土,7.5,19.5,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",26200,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
土,7.5,20,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",27600,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長3本"
土,7.5,20.5,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",28600,"前延長5本 + 休憩(サービスタイム2部) + 宿泊1部"
土,7.5,21,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",28600,"前延長5本 + 休憩(サービスタイム2部) + 宿泊1部"
土,7.5,21.5,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",28600,"前延長5本 + 休憩(サービスタイム2部) + 宿泊1部"
土,7.5,22,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",28600,"前延長5本 + 休憩(サービスタイム2部) + 宿泊1部"
土,7.5,22.5,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",28600,"前延長5本 + 休憩(サービスタイム2部) + 宿泊1部"
土,7.5,23,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",28600,"前延長5本 + 休憩(サービスタイム2部) + 宿泊1部"
土,7.5,23.5,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",28600,"前延長5本 + 休憩(サービスタイム2部) + 宿泊1部"
土,7.5,24,既存の過少請求(延長取りこぼし),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",28600,"前延長5本 + 休憩(サービスタイム2部) + 宿泊1部"
土,8,18.5,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
土,8,19,既存が割高(最適化漏れ),27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",26200,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長2本"
土,8.5,18,既存が割高(最適化漏れ),25800,"前延長3本 + 休憩(サービスタイム2部) + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本"
土,10.5,24,既存の過少請求(延長取りこぼし),21600,"休憩(サービスタイム2部) + 宿泊1部",23000,"休憩(サービスタイム2部) + 宿泊1部 + 延長1本"
土,11,23.5,既存の過少請求(延長取りこぼし),21600,"休憩(サービスタイム2部) + 宿泊1部",23000,"休憩(サービスタイム2部) + 宿泊1部 + 延長1本"
土,11,24,既存の過少請求(延長取りこぼし),21600,"休憩(サービスタイム2部) + 宿泊1部",24400,"休憩(サービスタイム2部) + 宿泊1部 + 延長2本"
土,11.5,23,既存の過少請求(延長取りこぼし),21600,"休憩(サービスタイム2部) + 宿泊1部",23000,"休憩(サービスタイム2部) + 宿泊1部 + 延長1本"
