区分,入室時刻,checkIn,hours,既存料金,既存プラン,最安料金,最安プラン,差額(既存-最安)
日祝,01:30,1.5,19.5,27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)",5600
日祝,01:30,1.5,20,27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)",5600
日祝,01:30,1.5,20.5,27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)",5600
日祝,01:30,1.5,21,28600,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部) + 延長1本",23000,"宿泊2部 + 休憩(サービスタイム3部) + 延長1本",5600
日祝,01:30,1.5,23.5,35000,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部) + 休憩(4時間)",29400,"宿泊2部 + 休憩(サービスタイム3部) + 休憩(M時間)",5600
日祝,01:30,1.5,24,35000,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部) + 休憩(4時間)",29400,"宿泊2部 + 休憩(サービスタイム3部) + 休憩(M時間)",5600
日祝,00:00,0,15,21600,"宿泊1部 + 休憩(サービスタイム2部)",16600,"宿泊2部 + 延長2本",5000
日祝,00:00,0,23,29400,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間)",24400,"宿泊2部 + 休憩(サービスタイム3部) + 延長2本",5000
日祝,00:00,0,23.5,30800,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長1本",25800,"宿泊2部 + 休憩(サービスタイム3部) + 延長3本",5000
日祝,00:00,0,24,32200,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長2本",27200,"宿泊2部 + 休憩(サービスタイム3部) + 延長4本",5000
日祝,00:30,0.5,14.5,21600,"宿泊1部 + 休憩(サービスタイム2部)",16600,"宿泊2部 + 延長2本",5000
日祝,00:30,0.5,22.5,29400,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間)",24400,"宿泊2部 + 休憩(サービスタイム3部) + 延長2本",5000
日祝,00:30,0.5,23,30800,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長1本",25800,"宿泊2部 + 休憩(サービスタイム3部) + 延長3本",5000
日祝,00:30,0.5,23.5,32200,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長2本",27200,"宿泊2部 + 休憩(サービスタイム3部) + 延長4本",5000
日祝,00:30,0.5,24,33600,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長3本",28600,"宿泊2部 + 休憩(サービスタイム3部) + 延長5本",5000
日祝,01:00,1,14,21600,"宿泊1部 + 休憩(サービスタイム2部)",16600,"宿泊2部 + 延長2本",5000
日祝,01:00,1,22,29400,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間)",24400,"宿泊2部 + 休憩(サービスタイム3部) + 延長2本",5000
日祝,01:00,1,22.5,30800,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長1本",25800,"宿泊2部 + 休憩(サービスタイム3部) + 延長3本",5000
日祝,01:00,1,23,32200,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長2本",27200,"宿泊2部 + 休憩(サービスタイム3部) + 延長4本",5000
日祝,01:00,1,23.5,33600,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長3本",28600,"宿泊2部 + 休憩(サービスタイム3部) + 延長5本",5000
日祝,01:30,1.5,13.5,21600,"宿泊1部 + 休憩(サービスタイム2部)",16600,"宿泊2部 + 延長2本",5000
日祝,01:30,1.5,21.5,29400,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間)",24400,"宿泊2部 + 休憩(サービスタイム3部) + 延長2本",5000
日祝,01:30,1.5,22,30800,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長1本",25800,"宿泊2部 + 休憩(サービスタイム3部) + 延長3本",5000
日祝,01:30,1.5,22.5,32200,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長2本",27200,"宿泊2部 + 休憩(サービスタイム3部) + 延長4本",5000
日祝,01:30,1.5,23,33600,"宿泊1部 + 休憩(サービスタイム2部) + 休憩(4時間) + 延長3本",28600,"宿泊2部 + 休憩(サービスタイム3部) + 延長5本",5000
平日,15:30,15.5,22.5,26400,"前延長5本 + 宿泊1部(平日) + 延長 4本",21600,"休憩(サービスタイム3部) + 宿泊2部",4800
平日,15:30,15.5,23,27800,"前延長5本 + 宿泊1部(平日) + 延長 5本",23000,"休憩(サービスタイム3部) + 宿泊2部 + 延長1本",4800
日祝,15:30,15.5,22.5,26400,"前延長5本 + 宿泊1部 + 延長4本",21600,"休憩(サービスタイム3部) + 宿泊2部",4800
日祝,15:30,15.5,23,27800,"前延長5本 + 宿泊1部 + 延長5本",23000,"休憩(サービスタイム3部) + 宿泊2部 + 延長1本",4800
平日,14:00,14,12.5,21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",4600
平日,14:30,14.5,12,21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",4600
平日,15:00,15,11.5,21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",4600
平日,21:00,21,5.5,13800,"宿泊1部(平日)",9200,"休憩(M時間) + 延長1本",4600
平日,21:30,21.5,5,13800,"宿泊1部(平日)",9200,"休憩(M時間) + 延長1本",4600
平日,22:00,22,4.5,13800,"宿泊2部(平日)",9200,"休憩(M時間) + 延長1本",4600
平日,22:30,22.5,4,13800,"宿泊2部(平日)",9200,"休憩(M時間) + 延長1本",4600
平日,23:00,23,3.5,13800,"宿泊2部(平日)",9200,"休憩(M時間) + 延長1本",4600
日祝,14:00,14,12.5,21600,"休憩(サービスタイム3部) + 宿泊2部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",4600
日祝,14:30,14.5,12,21600,"休憩(サービスタイム3部) + 宿泊2部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",4600
日祝,15:00,15,11.5,21600,"休憩(サービスタイム3部) + 宿泊2部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",4600
日祝,22:00,22,4.5,13800,"宿泊2部",9200,"休憩(M時間) + 延長1本",4600
日祝,22:30,22.5,4,13800,"宿泊2部",9200,"休憩(M時間) + 延長1本",4600
日祝,23:00,23,3.5,13800,"宿泊2部",9200,"休憩(M時間) + 延長1本",4600
土,14:00,14,12.5,21600,"休憩(サービスタイム3部) + 宿泊2部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",4600
土,14:30,14.5,12,21600,"休憩(サービスタイム3部) + 宿泊2部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",4600
土,15:00,15,11.5,21600,"休憩(サービスタイム3部) + 宿泊2部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",4600
土,22:00,22,4.5,13800,"宿泊2部",9200,"休憩(M時間) + 延長1本",4600
土,22:30,22.5,4,13800,"宿泊2部",9200,"休憩(M時間) + 延長1本",4600
土,23:00,23,3.5,13800,"宿泊2部",9200,"休憩(M時間) + 延長1本",4600
平日,15:30,15.5,23.5,28600,"前延長5本 + 宿泊1部(平日) + 休憩(サービスタイム2部)",24400,"休憩(サービスタイム3部) + 宿泊2部 + 延長2本",4200
